ScientificName;VernacularName;UUID
Sterna hirundo Linnaeus, 1758;Flussseeschwalbe;dd7fcba4-2ec8-4e48-bb78-b5fda36f70e3
Actitis hypoleucos (Linnaeus, 1758);Flussuferläufer;234891b8-bbaf-48d3-b686-1729c0eeb21c
Gyps fulvus (Hablizl, 1783);Gänsegeier;9dc0f2b3-f220-48b4-9cc6-4508a5ae93a9
Mergus merganser Linnaeus, 1758;Gänsesäger;5df585da-c92d-4d4b-874e-10dadd32bc8d
Certhia brachydactyla C.L. Brehm, 1820;Gartenbaumläufer;065cd557-da49-4132-8044-48bfce6c2ed2
Sylvia borin (Boddaert, 1783);Gartengrasmücke;d63d990f-1fd6-4624-a401-6a447b794e34
Phoenicurus phoenicurus (Linnaeus, 1758);Gartenrotschwanz;553e1983-6341-4508-9cf0-76e83c126fd0
Motacilla cinerea Tunstall, 1771;Gebirgsstelze;603b90d4-c554-42d8-86c1-91ca4ab9a4b2
Amazona oratrix Ridgway, 1887;Gelbkopfamazone;8f2d8247-f7dd-4f3e-9b7e-c6a55efe1ca4
Motacilla flavissima (Blyth, 1834);Gelbkopf-Schafstelze;ceedd857-e531-4e9d-bf3e-a7027044215a
Hippolais icterina (Vieillot, 1817);Gelbspötter;76c46b17-c3d9-4a46-bc35-239b656ba42e
Pyrrhula pyrrhula (Linnaeus, 1758);Gimpel;6b343d12-37fa-4d04-90d7-ab6d2820aab8
Serinus serinus (Linnaeus, 1766);Girlitz;960c044c-e2cf-49a1-a934-92ac3cfadf97
Emberiza citrinella Linnaeus, 1758;Goldammer;9da1c545-4e90-4de9-991f-51ed78dd9c55
Pluvialis apricaria (Linnaeus, 1758);Goldregenpfeifer;dbc24e83-7f4b-46bf-a44b-ef4ba7ab86cd
Emberiza calandra Linnaeus, 1758;Grauammer;33cf0743-03c0-4a8f-a26c-5afe9bf572ab
Anser anser (Linnaeus, 1758);Graugans;88a626a3-813a-48a1-b691-f30bb90f9df6
Ardea cinerea Linnaeus, 1758;Graureiher;ee380f32-82aa-4958-a7bb-5cd50471762d
Muscicapa striata (Pallas, 1764);Grauschnäpper;537b0d30-ca6c-483b-a78e-1158a4b07000
Picus canus J.F. Gmelin, 1788;Grauspecht;21971f93-0f7c-4309-b7e9-c219623d998e
Numenius arquata (Linnaeus, 1758);Großer Brachvogel;50b21bf5-3e43-4576-ae10-ecce72db112a
Otis tarda Linnaeus, 1758;Großtrappe;8b35b591-80a9-4f4f-989f-bb7bd803fbd7
Carduelis chloris (Linnaeus, 1758);Grünfink;fa0b11df-a0ef-492d-8f78-480a39bc2240
Phylloscopus trochiloides (Sundevall, 1837);Grünlaubsänger;eee078fe-3661-4259-ab27-b6b04d862b26
Picus viridis Linnaeus, 1758;Grünspecht;e4bc6dd3-b5ab-4bb3-8bb4-b535a02cd9b4
Accipiter gentilis (Linnaeus, 1758);Habicht;ca2e3083-6b6a-42c3-8ef3-4376c001f070
Strix uralensis Pallas, 1771;Habichtskauz;b5daf3bf-550b-4419-90ec-240649ad346d
Ficedula albicollis (Temminck, 1815);Halsbandschnäpper;f65bc547-c373-4659-988a-9e61ee71672f
Psittacula krameri (Scopoli, 1769);Halsbandsittich;7ac3ba11-596a-42cb-87a7-5acc7fc7ddd8
Tetrastes bonasia (Linnaeus, 1758);Haselhuhn;59f3cf53-9c0f-4f5f-8ca4-f72ecd63e5f9
Galerida cristata (Linnaeus, 1758);Haubenlerche;385c7060-6ec1-454b-b9c0-dccb04ffd11a
Parus cristatus Linnaeus, 1758;Haubenmeise;7e19003e-734c-459e-88ce-261920359785
Podiceps cristatus (Linnaeus, 1758);Haubentaucher;f6136c08-cf67-4cfd-8ca1-3f8d17c49026
Phoenicurus ochruros (S.G. Gmelin, 1774);Hausrotschwanz;ea4c7b8f-63e9-45de-a351-bfa3348787b7
Passer domesticus (Linnaeus, 1758);Haussperling;29859319-5cd3-4c2f-afa5-4f56fe35af29
Prunella modularis (Linnaeus, 1758);Heckenbraunelle;1a3a53f9-4972-4629-ac13-d12c1e3cff0d
Lullula arborea (Linnaeus, 1758);Heidelerche;477144b5-882a-4c88-875d-c28c4cf26e0e
Larus fuscus Linnaeus, 1758;Heringsmöwe;d4dc41a3-9077-4605-9204-883f436b3e82
Cygnus olor (J.F. Gmelin, 1789);Höckerschwan;53f55c08-89f9-411e-81a0-c83e0fbe1540
Columba oenas Linnaeus, 1758;Hohltaube;65199d62-5ee0-4a7d-bdeb-699112dff8e1
Phasianus colchicus Linnaeus, 1758;Jagdfasan;78efe663-5bea-42b5-adf6-ec5123035ecd
Philomachus pugnax (Linnaeus, 1758);Kampfläufer;247c4794-86ce-4f0a-8d07-5f18f078d5e3
Branta canadensis (Linnaeus, 1758);Kanadagans;521bdfd5-1d6f-41e1-8a0a-f0696adfa9e0
Carpodacus erythrinus (Pallas, 1770);Karmingimpel;1e136358-5a61-4638-9f26-c0b85644c092
Coccothraustes coccothraustes (Linnaeus, 1758);Kernbeißer;c85ec472-59b3-4c51-8faa-23638d9795f6
Vanellus vanellus (Linnaeus, 1758);Kiebitz;7207016f-ac29-4595-9967-dfd085bec14a
Sylvia curruca (Linnaeus, 1758);Klappergrasmücke;ca7ff520-d74e-462e-a9b3-2af3634c7102
Sitta europaea Linnaeus, 1758;Kleiber;e9818006-4bbc-404c-85ab-91d544f2c6d5
Porzana parva (Scopoli, 1769);Kleines Sumpfhuhn;ce1df6cd-d621-4793-bde7-9f7ec270aab6
Dryobates minor (Linnaeus, 1758);Kleinspecht;35a4ca18-1029-41a9-93de-4a3debeff160
Anas querquedula Linnaeus, 1758;Knäkente;4f9fadc0-462f-4a41-b6f9-930196d82a67
Parus major Linnaeus, 1758;Kohlmeise;a3a31a69-3b28-4d64-b417-3c863e4405ef
Netta rufina (Pallas, 1773);Kolbenente;124c3213-483e-4b63-a264-1fed799464b9
Corvus corax Linnaeus, 1758;Kolkrabe;1af21e0c-3a2c-4fd5-a12f-2b19fe779152
Phalacrocorax carbo (Linnaeus, 1758);Kormoran;343dfe77-1216-4880-8d96-de0aeedddea6
Circus cyaneus (Linnaeus, 1766);Kornweihe;df895c05-d5f2-4a54-9402-0cbb3bc18057
Grus grus (Linnaeus, 1758);Kranich;9bcacb81-7858-4842-8b83-c24ab116c608
Anas crecca Linnaeus, 1758;Krickente;f6f73f43-37ea-4c82-8afa-8d7511c6b92b
Phoenicopterus ruber Linnaeus, 1758;Kubaflamingo;e86a548f-678a-4e75-874e-4f61ad69dd6f
Cuculus canorus Linnaeus, 1758;Kuckuck;d8ebb0e3-2ba4-4f0d-af33-61ed4c84fda5
Sterna paradisaea Pontoppidan, 1763;Küstenseeschwalbe;c9f065a7-f6a9-4843-a866-cbc4cccfc82b
Larus ridibundus Linnaeus, 1766;Lachmöwe;5f631595-5945-4cf9-a9ed-032202bb4098
Gelochelidon nilotica J.F. Gmelin, 1789;Lachseeschwalbe;fad66b12-9987-4464-9db9-c01bf50b428a
Anas clypeata Linnaeus, 1758;Löffelente;1aaec30f-6ac5-4121-9581-00788eb1ebb1
Platalea leucorodia Linnaeus, 1758;Löffler;257a0f87-9204-47e6-8506-718693461bb7
Aix galericulata (Linnaeus, 1758);Mandarinente;c7feb9a1-f1fd-4149-bb68-582f580a5a92
Larus marinus Linnaeus, 1758;Mantelmöwe;4d89dd91-cdfc-41f7-a240-e99a1586d5a0
Tichodroma muraria (Linnaeus, 1766);Mauerläufer;7f2aac82-9368-49f4-8ddd-607bb3326b1b
